quarters,name,region,number,min_salary,max_salary,avg_min_salary,avg_max_salary
1,Нагревальщик металла,Республика Саха (Якутия),3,65000,65000,,
1,Нагревальщик металла,Свердловская область,3,25000,37500,,
1,Нагревальщик металла,Республика Башкортостан,2,21200,23900,,
1,Нагревальщик металла,Калужская область,1,25000,37500,,
1,Нагревальщик металла,Нижегородская область,3,24000,31200,,
1,Нагревальщик металла,Челябинская область,2,19000,40000,,
1,Нагревальщик металла,Владимирская область,2,20000,25000,,
1,Нагревальщик металла,Московская область,4,30000,60000,,
1,Нагревальщик металла,Пермский край,6,15000,27000,,
1,Нагревальщик металла,Краснодарский край,2,20000,25000,,
1,Нагревальщик металла,Иркутская область,9,15300,90000,,
1,Нагревальщик металла,Самарская область,4,11280,40000,,
1,Нагревальщик металла,Республика Крым,3,32914,49371,,
1,Нагревальщик металла,Красноярский край,4,18048,49500,,
1,Нагревальщик металла,г. Москва,2,45000,50000,,
1,Нагревальщик металла,Волгоградская область,3,35000,52500,,
1,Нагревальщик металла,Сахалинская область,4,28000,28000,,
1,Нагревальщик металла,г. Санкт-Петербург,5,44000,66000,,
1,Нагревальщик металла,Тульская область,1,44000,64000,,
1,Оператор поста управления стана горячей прокатки,Калужская область,2,28000,28000,,
1,Оператор поста управления стана горячей прокатки,Челябинская область,1,24700,24700,,
1,Оператор поста управления стана горячей прокатки,Московская область,3,40000,100000,,
1,Оператор поста управления стана горячей прокатки,г. Москва,2,40000,110000,,
1,Правильщик проката и труб,Калининградская область,1,30000,45000,,
1,Правильщик проката и труб,Камчатский край,3,29328,29328,,
1,Правильщик проката и труб,Ростовская область,2,35000,35000,,
1,Правильщик проката и труб,Республика Татарстан,1,100000,125000,,
1,Правильщик проката и труб,Челябинская область,4,15000,35000,,
1,Правильщик проката и труб,Московская область,8,40000,60000,,
1,Правильщик проката и труб,Пермский край,2,25000,25000,,
1,Правильщик проката и труб,Красноярский край,2,87000,130500,,
1,Правильщик проката и труб,Волгоградская область,1,30000,50000,,
1,Правильщик проката и труб,Тюменская область,3,25000,40000,,
1,Правильщик проката и труб,г. Санкт-Петербург,4,58400,88200,,
1,Кузнец-штамповщик,Республика Саха (Якутия),7,50000,75000,,
